0	0	1
0	14	1
14	0	1
0	28	1
28	0	1
0	1	1
0	15	1
14	1	1
0	29	1
28	1	1
1	0	1
1	14	1
15	0	1
1	28	1
29	0	1
1	1	1
1	15	1
15	1	1
1	29	1
29	1	1
1	2	1
1	16	1
15	2	1
1	30	1
29	2	1
2	1	1
2	15	1
16	1	1
2	29	1
30	1	1
2	2	1
2	16	1
16	2	1
2	30	1
30	2	1
2	3	1
2	17	1
16	3	1
2	31	1
30	3	1
3	2	1
3	16	1
17	2	1
3	30	1
31	2	1
3	3	1
3	17	1
17	3	1
3	31	1
31	3	1
3	4	1
3	18	1
17	4	1
3	32	1
31	4	1
4	3	1
4	17	1
18	3	1
4	31	1
32	3	1
4	4	1
4	18	1
18	4	1
4	32	1
32	4	1
4	5	1
4	19	1
18	5	1
4	33	1
32	5	1
5	4	1
5	18	1
19	4	1
5	32	1
33	4	1
5	5	1
5	19	1
19	5	1
5	33	1
33	5	1
5	6	1
5	20	1
19	6	1
5	34	1
33	6	1
6	5	1
6	19	1
20	5	1
6	33	1
34	5	1
6	6	1
6	20	1
20	6	1
6	34	1
34	6	1
6	7	1
6	21	1
20	7	1
6	35	1
34	7	1
7	6	1
7	20	1
21	6	1
7	34	1
35	6	1
7	7	1
7	21	1
21	7	1
7	35	1
35	7	1
7	8	1
7	22	1
21	8	1
7	36	1
35	8	1
8	7	1
8	21	1
22	7	1
8	35	1
36	7	1
8	8	1
8	22	1
22	8	1
8	36	1
36	8	1
8	9	1
8	23	1
22	9	1
8	37	1
36	9	1
9	8	1
9	22	1
23	8	1
9	36	1
37	8	1
9	9	1
9	23	1
23	9	1
9	37	1
37	9	1
9	10	1
9	24	1
23	10	1
9	38	1
37	10	1
10	9	1
10	23	1
24	9	1
10	37	1
38	9	1
10	10	1
10	24	1
24	10	1
10	38	1
38	10	1
10	11	1
10	25	1
24	11	1
10	39	1
38	11	1
11	10	1
11	24	1
25	10	1
11	38	1
39	10	1
11	11	1
11	25	1
25	11	1
11	39	1
39	11	1
11	12	1
11	26	1
25	12	1
11	40	1
39	12	1
12	11	1
12	25	1
26	11	1
12	39	1
40	11	1
12	12	1
12	26	1
26	12	1
12	40	1
40	12	1
12	13	1
12	27	1
26	13	1
12	41	1
40	13	1
13	12	1
13	26	1
27	12	1
13	40	1
41	12	1
13	13	1
13	27	1
27	13	1
13	41	1
41	13	1
