0	0	1
0	0	1
0	14	1
14	0	1
0	1	1
0	15	1
14	1	1
1	0	1
1	14	1
15	0	1
1	1	1
1	15	1
15	1	1
1	2	1
1	16	1
15	2	1
2	1	1
2	15	1
16	1	1
2	2	1
2	16	1
16	2	1
2	3	1
2	17	1
16	3	1
3	2	1
3	16	1
17	2	1
3	3	1
3	17	1
17	3	1
3	4	1
3	18	1
17	4	1
4	3	1
4	17	1
18	3	1
4	4	1
4	18	1
18	4	1
4	5	1
4	19	1
18	5	1
5	4	1
5	18	1
19	4	1
5	5	1
5	19	1
19	5	1
5	6	1
5	20	1
19	6	1
6	5	1
6	19	1
20	5	1
6	6	1
6	20	1
20	6	1
6	7	1
6	21	1
20	7	1
7	6	1
7	20	1
21	6	1
7	7	1
7	21	1
21	7	1
7	8	1
7	22	1
21	8	1
8	7	1
8	21	1
22	7	1
8	8	1
8	22	1
22	8	1
8	9	1
8	23	1
22	9	1
9	8	1
9	22	1
23	8	1
9	9	1
9	23	1
23	9	1
9	10	1
9	24	1
23	10	1
10	9	1
10	23	1
24	9	1
10	10	1
10	24	1
24	10	1
10	11	1
10	25	1
24	11	1
11	10	1
11	24	1
25	10	1
11	11	1
11	25	1
25	11	1
11	12	1
11	26	1
25	12	1
12	11	1
12	25	1
26	11	1
12	12	1
12	26	1
26	12	1
12	13	1
12	27	1
26	13	1
13	12	1
13	26	1
27	12	1
13	13	1
13	27	1
27	13	1
